parliament,date,name,url,ayes,noes,ayes_noscotland,noes_noscotland,different
2017,16-Mar-18,Refugees (Family Reunion) (No.2) Bill — Second Reading — Refugees' Family Reunion — Immigration Law — Legal Aid,http://www.publicwhip.org.uk/division.php?date=2018-03-16&house=commons&number=133&display=allvotes,131,44,94,43,FALSE
2017,16-Mar-18,Motion to Sit in Private,http://www.publicwhip.org.uk/division.php?date=2018-03-16&house=commons&number=132&display=allvotes,3,116,3,84,FALSE
2017,13-Mar-18,Tax Treatment of Non-Cash Benefits — Employer National Insurance on Sporting Testimonial Payments,http://www.publicwhip.org.uk/division.php?date=2018-03-13&house=commons&number=131&display=allvotes,287,315,246,303,FALSE
2017,13-Mar-18,State Funded Early Education for Two Year Olds,http://www.publicwhip.org.uk/division.php?date=2018-03-13&house=commons&number=130&display=allvotes,255,316,246,304,FALSE
2017,13-Mar-18,"Free School Lunches and Milk, and School and Early Years Finance",http://www.publicwhip.org.uk/division.php?date=2018-03-13&house=commons&number=129&display=allvotes,256,314,247,302,FALSE
2017,13-Mar-18,Universal Credit — Seven Day Waiting Period — Housing Benefit Transition — Work Related Requirements for Students,http://www.publicwhip.org.uk/division.php?date=2018-03-13&house=commons&number=128&display=allvotes,290,317,249,305,FALSE
2017,07-Mar-18,Draft Passport (Fees) Regulations 2018,http://www.publicwhip.org.uk/division.php?date=2018-03-07&house=commons&number=127&display=allvotes,317,258,304,222,FALSE
2017,07-Mar-18,Draft Transparency of Donations and Loans etc. (Northern Ireland Political Parties) Order 2018,http://www.publicwhip.org.uk/division.php?date=2018-03-07&house=commons&number=126&display=allvotes,308,261,295,225,FALSE
2017,28-Feb-18,Middle Level Bill — Clause 4 — Charges for Vessels Used by People Registered as Disabled,http://www.publicwhip.org.uk/division.php?date=2018-02-28&house=commons&number=125&display=allvotes,7,179,7,170,FALSE
2017,21-Feb-18,Finance (No. 2) Bill — Third Reading,http://www.publicwhip.org.uk/division.php?date=2018-02-21&house=commons&number=124&display=allvotes,303,220,291,213,FALSE
2017,21-Feb-18,Finance (No. 2) Bill — Clause 44 — Exemption from the Higher Rate of Vehicle Excise Duty for Taxis,http://www.publicwhip.org.uk/division.php?date=2018-02-21&house=commons&number=123&display=allvotes,227,306,219,293,FALSE
2017,21-Feb-18,Finance (No. 2) Bill — New Clause 10 — Review of Retrospective VAT Refunds for the Scottish Fire and Rescue Service and the Scottish Police Authority,http://www.publicwhip.org.uk/division.php?date=2018-02-21&house=commons&number=122&display=allvotes,254,307,217,294,FALSE
2017,21-Feb-18,Finance (No. 2) Bill — New Clause 7 — Review of Stamp Duty Relief for First-Time Buyers,http://www.publicwhip.org.uk/division.php?date=2018-02-21&house=commons&number=121&display=allvotes,230,307,222,294,FALSE
2017,21-Feb-18,Finance (No. 2) Bill — Schedule 8 — Taxation of Private Finance Inititative Companies Deemed to be Making Excess Profits,http://www.publicwhip.org.uk/division.php?date=2018-02-21&house=commons&number=120&display=allvotes,266,305,226,292,FALSE
2017,21-Feb-18,Finance (No. 2) Bill — New Clause 3 — Review of Operation and Effectiveness of Bank Levy,http://www.publicwhip.org.uk/division.php?date=2018-02-21&house=commons&number=119&display=allvotes,269,308,229,295,FALSE
2017,21-Feb-18,Finance (No. 2) Bill — New Clause 9 — Equality Impact Assessment,http://www.publicwhip.org.uk/division.php?date=2018-02-21&house=commons&number=118&display=allvotes,267,306,228,293,FALSE
2017,07-Feb-18,Local Government Finance (England) 2018-19 — Level of Revenue Support Grant,http://www.publicwhip.org.uk/division.php?date=2018-02-07&house=commons&number=117&display=allvotes,289,224,277,216,FALSE
2017,07-Feb-18,Police Grant Report (England and Wales) for 2018-19 — Level of Central Government Funding for Policing,http://www.publicwhip.org.uk/division.php?date=2018-02-07&house=commons&number=116&display=allvotes,297,241,285,231,FALSE
2017,06-Feb-18,Space Industry Bill — Clause 68 — Regulations — Role of MPs in Parliament — Reports — Consultation,http://www.publicwhip.org.uk/division.php?date=2018-02-06&house=commons&number=115&display=allvotes,35,284,10,271,FALSE
2017,06-Feb-18,Space Industry Bill — Launches — Cap on Licensees' Liability Limit,http://www.publicwhip.org.uk/division.php?date=2018-02-06&house=commons&number=114&display=allvotes,35,279,10,266,FALSE
2017,31-Jan-18,The Double Taxation Relief and International Tax Enforcement (Lesotho) Order 2017,http://www.publicwhip.org.uk/division.php?date=2018-01-31&house=commons&number=110&display=allvotes,306,240,293,207,FALSE
2017,31-Jan-18,Restoration and Renewal — Lords and Commons Leaving the Palace of Westminister During Renovations,http://www.publicwhip.org.uk/division.php?date=2018-01-31&house=commons&number=113&display=allvotes,236,187,222,178,FALSE
2017,31-Jan-18,Restoration and Renewal — Lords and Commons Leaving the Palace of Westminister During Renovations,http://www.publicwhip.org.uk/division.php?date=2018-01-31&house=commons&number=112&display=allvotes,237,222,223,181,FALSE
2017,31-Jan-18,Palace of Westminister — Restoration and Renewal — Cost-Effectiveness of Relocation,http://www.publicwhip.org.uk/division.php?date=2018-01-31&house=commons&number=111&display=allvotes,49,412,15,392,FALSE
2017,30-Jan-18,High Speed Rail (West Midlands — Crewe) Bill — Second Reading — High Speed 2 Phase 2 — Fradley to Crewe,http://www.publicwhip.org.uk/division.php?date=2018-01-30&house=commons&number=109&display=allvotes,297,14,283,14,FALSE
2017,23-Jan-18,Appointment of Professor Sir Ian Kennedy as Electoral Commissioner,http://www.publicwhip.org.uk/division.php?date=2018-01-23&house=commons&number=108&display=allvotes,48,79,44,75,FALSE
2017,23-Jan-18,Nuclear Safeguards Bill — Clause 2 — Power for Ministers to Amend Legislation Relating to Nuclear Safeguards,http://www.publicwhip.org.uk/division.php?date=2018-01-23&house=commons&number=107&display=allvotes,256,297,215,285,FALSE
2017,23-Jan-18,Nuclear Safeguards Bill — Transition Period — Nuclear Regulation — Euratom,http://www.publicwhip.org.uk/division.php?date=2018-01-23&house=commons&number=106&display=allvotes,257,297,217,285,FALSE
2017,17-Jan-18,European Union (Withdrawal) Bill — Third Reading — Membership of the European Union,http://www.publicwhip.org.uk/division.php?date=2018-01-17&house=commons&number=105&display=allvotes,326,297,313,251,FALSE
2017,17-Jan-18,European Union (Withdrawal) Bill — Reject Third Reading — Membership of the European Union,http://www.publicwhip.org.uk/division.php?date=2018-01-17&house=commons&number=104&display=allvotes,297,323,251,310,FALSE
2017,17-Jan-18,European Union (Withdrawal) Bill — Clause 14 — Allow Ministers to Change Date of Withdrawal,http://www.publicwhip.org.uk/division.php?date=2018-01-17&house=commons&number=103&display=allvotes,304,323,258,310,FALSE
2017,17-Jan-18,European Union (Withdrawal) Bill -Clause 9 — Continued Membership of EU Single Market and Customs Union as Prerequisite for Regulations Implementing Withdrawal Agreement,http://www.publicwhip.org.uk/division.php?date=2018-01-17&house=commons&number=102&display=allvotes,101,324,61,311,FALSE
